Genes,Reason
Calb2,Phillips et al 2019
Scn4b,
Gad1,Marker gene
Prkcd,Marker gene
Necab2,
Neurog2,Caudal progenitor markers from literature-looks good in RNA seq data
Olig3,Caudal progenitor markers from literature-looks good in RNA seq data
Dbx1,Caudal progenitor markers from literature-looks good in RNA seq data
Ascl1,Rostral progenitor markers from literature - looks good in RNA seq data
Nkx2-2,Rostral progenitor markers from literature - looks good in RNA seq data
Irx3,Other progenitor markers from literature - looks good in RNA seq data
Pax6,Other progenitor markers from literature - looks good in RNA seq data
Gbx2,Other progenitor markers from literature - looks good in RNA seq data
Mki67,Label dividing cells - looks good in RNA seq data
Tac2,subclass_markers
Chrnb4,subclass_markers
Sox1,subclass_markers
Pou4f1,subclass_markers
Sox14,subclass_markers
Meis2,subclass_markers
Isl1,subclass_markers_looks good in previous merfish data
Pvalb,subclass_markers_looks good in previous merfish data
Gata3,subclass_markers
Tal1,subclass_markers
Dlx6,subclass_and_ZI_markers
Dlx6os1,subclass_markers
Rprml,subclass_markers
Zim1,subclass_markers
Galr1,subclass_markers
Bhlhe22,subclass_markers
Fzd5,subclass_markers
Ctxn3,subclass_markers
Rxfp1,subclass_markers_looks good in previous merfish data
Grin2c,subclass_markers
Prkcd,subclass_markers_looks good in previous merfish data
Col27a1,subclass_markers
Mctp2,subclass_markers
Aqp4,Non_neuronal markers (astrocyte)
Gfap,Non_neuronal markers (astrocyte)
Emrn,Non_neuronal markers (Oligo)
Apod,Non_neuronal markers (Oligo)
Pdgfra,Non_neuronal markers (OPC)
Cspg4,Non_neuronal markers
Aif1,Non_neuronal markers (Microglia)
Cx3cr1,Non_neuronal markers (Microglia)
Dlx5,ZI_markers
Th,ZI_markers
Alk,spatially distinct and looks quite good in previous merfish data (thalamus)
Serpine2,spatially distinct and looks quite good in previous merfish data (thalamus)
C1ql3,spatially distinct and looks quite good in previous merfish data (thalamus)
Car8,spatially distinct and looks quite good in previous merfish data (thalamus)
Nmbr,spatially distinct and looks quite good in previous merfish data (thalamus)
Cbln1,spatially distinct and looks quite good in previous merfish data (thalamus)
Cbln2,spatially distinct and looks quite good in previous merfish data (thalamus)
Chat,spatially distinct and looks quite good in previous merfish data (thalamus)
Lmo3,spatially distinct and looks quite good in previous merfish data (thalamus)
Col15a1,spatially distinct and looks quite good in previous merfish data (thalamus)
Ctxn3,spatially distinct and looks quite good in previous merfish data (thalamus)
Tpbg,spatially distinct and looks quite good in previous merfish data (thalamus)
